file,size_kb,upload_ms,agnes_s,is_coffee_bag,fields_read,error
onyx_worka.png,2094.3,1147,35.1,False,0,
lacabra_anasora.jpg,228.7,962,21.1,True,5,
bw_natural.jpg,75.1,409,11.2,True,6,
