file,size_kb,upload_ms,agnes_s,is_coffee_bag,fields_read,error
onyx_worka.png,3718.0,1130,29.7,False,0,
lacabra_anasora.jpg,171.7,765,26.1,True,5,
bw_natural.jpg,75.1,1411,29.1,True,5,
